name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Bierges-Walibi,bierges-walibi,,,,,,be,4.594746,50.707772,62.164804,300
Bierset-Awans,bierset-awans,,,,,,be,5.460551,50.65861,63.136872,300
Bilzen,bilzen,,,,,,be,5.50938,50.868643,61.005587,300
Binche,binche,,,,,,be,4.172451,50.408764,35.868715,300
Bissegem,bissegem,,,,,,be,3.224205,50.825845,41.497207,300
Blandain-Frontiere,blandain-frontiere,,,,,,be,3.26373,50.61749,48.005587,120
Blankenberge,blankenberge,,,,,,be,3.133864,51.312432,38.692737,300
Blanmont,blanmont,,,,,,be,4.636393,50.619453,130.452514,300
Blaton,blaton,,,,,,be,3.666304,50.505461,65.958101,300
Bleret,bleret,,,,,,be,5.286394,50.685065,63.136872,300
Bockstael,bockstael,,,,,,be,4.348513,50.87943,120.251397,300
Boechout,boechout,,,,,,be,4.494489,51.16348,178.664804,300
Bokrijk,bokrijk,,,,,,be,5.408386,50.955812,42.150838,300
Bomal,bomal,,,,,,be,5.519304,50.376798,30.472067,300
Booischot,booischot,,,,,,be,4.773478,51.037344,74.946927,300
Boom,boom,,,,,,be,4.360694,51.090713,54.01676,300
Boondaal/Boondael,boondaal/boondael,boondael,boondaal,,,,be,4.393387,50.801665,124.941341,300
Boortmeerbeek,boortmeerbeek,,,,,,be,4.5739,50.981853,67.139665,300
Bordet,bordet,,,,,,be,4.410026,50.877785,164.122905,300
Bornem,bornem,,,,,,be,4.240526,51.099225,39.790503,300
Bosvoorde/Boitsfort,bosvoorde/boitsfort,boitsfort,bosvoorde,,,,be,4.408112,50.794698,158.377095,300
Bourg-Saint-Maurice,bourg-saint-maurice,,,,,,fr,6.771664,45.618826,0,
Boussu,boussu,,,,,,be,3.797025,50.436388,32.826816,300
Bouwel,bouwel,,,,,,be,4.746511,51.165764,137.522346,300
Bracquegnies,bracquegnies,,,,,,be,4.126345,50.474457,89.103352,300
Braine-l'Alleud,braine-l'alleud,,eigenbrakel,,,,be,4.375526,50.684778,181.363128,240
Braine-le-Comte,braine-le-comte,,'s gravenbrakel,,,,be,4.137662,50.605079,206.930168,300
Breda,breda,,,,,,nl,4.7764,51.594459,47.832402,300
Bressoux,bressoux,,,,,,be,5.611057,50.643967,44.505587,300
Brugelette,brugelette,,,,,,be,3.852551,50.594229,35.27095,300
Brugge,brugge,bruges,,,,,be,3.216726,51.197226,283.173184,180
Brugge-Sint-Pieters,brugge-sint-pieters,bruges-saint-pierre,,,,,be,3.201795,51.223115,102.910615,300
Brussel-Centraal/Bruxelles-Central,brussel-centraal/bruxelles-central,bruxelles-central,brussel-centraal,,brussels-central,,be,4.356801,50.845658,966.740223,300
Brussel-Congres/Bruxelles-Congrès,brussel-congres/bruxelles-congres,bruxelles-congres,brussel-congres,,brussels-congres,,be,4.362051,50.852067,966.740223,300
Brussel-Kapellekerk/Bruxelles-Chapelle,brussel-kapellekerk/bruxelles-chapelle,bruxelles-chapelle,brussel-kapellekerk,,brussels-chapelle/brussels-kapellekerk,,be,4.347866,50.841127,966.645251,300
Brussel-Luxemburg/Bruxelles-Luxembourg,brussel-luxemburg/bruxelles-luxembourg,bruxelles-luxembourg,brussel-luxemburg,,brussels-luxemburg/brussels-luxembourg,,be,4.373674,50.838943,295.337989,300
Brussel-Noord/Bruxelles-Nord,brussel-noord/bruxelles-nord,bruxelles-nord,brussel-noord,,brussels-north,,be,4.360846,50.859663,969.723464,300
Brussel-Schuman/Bruxelles-Schuman,brussel-schuman/bruxelles-schuman,bruxelles-schuman,brussel-schuman,,brussels-schuman,,be,4.380722,50.843276,283.326816,300
